iso,elapsed_s,traffic_state,sit_state,traffic_msgs_total,sit_msgs_total,traffic_silent_s,sit_silent_s,es_last_min,es_targets,uat_last_min,connected_users,event
2026-05-01T20:16:30.074Z,0.0,OPEN,CONNECTING,0,0,0.0,,,,,,traffic_open
2026-05-01T20:16:30.075Z,0.0,OPEN,OPEN,2,0,0.0,0.0,,,,,sit_open
2026-05-01T20:16:30.078Z,0.0,OPEN,OPEN,2,0,0.0,0.0,1,75,0,2,poll
2026-05-01T20:16:40.066Z,10.0,OPEN,OPEN,3231,100,0.0,0.0,3231,75,0,2,poll
2026-05-01T20:16:50.065Z,20.0,OPEN,OPEN,6432,199,0.0,0.1,6432,75,0,2,poll
2026-05-01T20:17:00.063Z,30.0,OPEN,OPEN,9642,299,0.0,0.1,,,,,heartbeat
2026-05-01T20:17:00.065Z,30.0,OPEN,OPEN,9643,299,0.0,0.1,9643,75,0,2,poll
2026-05-01T20:17:10.065Z,40.0,OPEN,OPEN,12860,399,0.0,0.1,12860,75,0,2,poll
2026-05-01T20:17:20.065Z,50.0,OPEN,OPEN,16086,499,0.0,0.1,16086,75,0,2,poll
2026-05-01T20:17:30.063Z,60.0,OPEN,OPEN,19315,599,0.0,0.1,,,,,heartbeat
2026-05-01T20:17:30.065Z,60.0,OPEN,OPEN,19316,599,0.0,0.1,16200,75,0,2,poll
2026-05-01T20:17:40.066Z,70.0,OPEN,OPEN,22552,699,0.0,0.1,16200,75,0,2,poll
2026-05-01T20:17:50.066Z,80.0,OPEN,OPEN,25795,799,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:18:00.063Z,90.0,OPEN,OPEN,28994,899,0.0,0.0,,,,,heartbeat
2026-05-01T20:18:00.066Z,90.0,OPEN,OPEN,28994,899,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:18:10.065Z,100.0,OPEN,OPEN,32170,999,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:18:20.066Z,110.0,OPEN,OPEN,35384,1099,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:18:30.064Z,120.0,OPEN,OPEN,38608,1199,0.0,0.0,,,,,heartbeat
2026-05-01T20:18:30.066Z,120.0,OPEN,OPEN,38609,1199,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:18:40.066Z,130.0,OPEN,OPEN,41842,1299,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:18:50.065Z,140.0,OPEN,OPEN,45076,1398,0.0,0.1,16200,75,0,2,poll
2026-05-01T20:19:00.063Z,150.0,OPEN,OPEN,48316,1498,0.0,0.1,,,,,heartbeat
2026-05-01T20:19:00.066Z,150.0,OPEN,OPEN,48317,1498,0.0,0.1,16200,75,0,2,poll
2026-05-01T20:19:10.066Z,160.0,OPEN,OPEN,51554,1598,0.0,0.1,16200,75,0,2,poll
2026-05-01T20:19:20.065Z,170.0,OPEN,OPEN,54763,1698,0.0,0.1,16200,75,0,2,poll
2026-05-01T20:19:30.063Z,180.0,OPEN,OPEN,57978,1798,0.0,0.1,,,,,heartbeat
2026-05-01T20:19:30.066Z,180.0,OPEN,OPEN,57979,1798,0.0,0.1,16200,75,0,2,poll
2026-05-01T20:19:40.066Z,190.0,OPEN,OPEN,61184,1898,0.0,0.1,16200,75,0,2,poll
2026-05-01T20:19:50.066Z,200.0,OPEN,OPEN,64403,1998,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:20:00.064Z,210.0,OPEN,OPEN,67636,2098,0.0,0.0,,,,,heartbeat
2026-05-01T20:20:00.065Z,210.0,OPEN,OPEN,67637,2098,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:20:10.066Z,220.0,OPEN,OPEN,70862,2198,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:20:20.065Z,230.0,OPEN,OPEN,74054,2298,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:20:30.063Z,240.0,OPEN,OPEN,77264,2398,0.0,0.0,,,,,heartbeat
2026-05-01T20:20:30.066Z,240.0,OPEN,OPEN,77265,2398,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:20:40.066Z,250.0,OPEN,OPEN,80366,2497,0.0,0.1,16200,75,0,2,poll
2026-05-01T20:20:50.066Z,260.0,OPEN,OPEN,83446,2597,0.0,0.1,16200,75,0,2,poll
2026-05-01T20:21:00.063Z,270.0,OPEN,OPEN,86602,2697,0.0,0.1,,,,,heartbeat
2026-05-01T20:21:00.067Z,270.0,OPEN,OPEN,86604,2697,0.0,0.1,16200,75,0,2,poll
2026-05-01T20:21:10.067Z,280.0,OPEN,OPEN,89768,2797,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:21:20.066Z,290.0,OPEN,OPEN,92930,2897,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:21:30.063Z,300.0,OPEN,OPEN,96113,2997,0.0,0.0,,,,,heartbeat
2026-05-01T20:21:30.067Z,300.0,OPEN,OPEN,96114,2997,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:21:40.067Z,310.0,OPEN,OPEN,99323,3097,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:21:50.067Z,320.0,OPEN,OPEN,102529,3196,0.0,0.1,16200,75,0,2,poll
2026-05-01T20:22:00.064Z,330.0,OPEN,OPEN,105631,3296,0.0,0.1,,,,,heartbeat
2026-05-01T20:22:00.066Z,330.0,OPEN,OPEN,105631,3296,0.0,0.1,16200,75,0,2,poll
2026-05-01T20:22:10.066Z,340.0,OPEN,OPEN,108737,3396,0.0,0.1,16200,75,0,2,poll
2026-05-01T20:22:20.066Z,350.0,OPEN,OPEN,111870,3496,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:22:30.064Z,360.0,OPEN,OPEN,115023,3596,0.0,0.0,,,,,heartbeat
2026-05-01T20:22:30.066Z,360.0,OPEN,OPEN,115024,3596,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:22:40.067Z,370.0,OPEN,OPEN,118190,3696,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:22:50.068Z,380.0,OPEN,OPEN,121365,3796,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:23:00.064Z,390.0,OPEN,OPEN,124567,3896,0.0,0.0,,,,,heartbeat
2026-05-01T20:23:00.067Z,390.0,OPEN,OPEN,124569,3896,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:23:10.068Z,400.0,OPEN,OPEN,127783,3995,0.0,0.1,16200,75,0,2,poll
2026-05-01T20:23:20.067Z,410.0,OPEN,OPEN,130870,4095,0.0,0.1,16200,75,0,2,poll
2026-05-01T20:23:30.064Z,420.0,OPEN,OPEN,133989,4195,0.0,0.1,,,,,heartbeat
2026-05-01T20:23:30.067Z,420.0,OPEN,OPEN,133990,4195,0.0,0.1,16200,75,0,2,poll
2026-05-01T20:23:40.068Z,430.0,OPEN,OPEN,137110,4295,0.0,0.1,16200,75,0,2,poll
2026-05-01T20:23:50.068Z,440.0,OPEN,OPEN,140270,4395,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:24:00.064Z,450.0,OPEN,OPEN,143461,4495,0.0,0.0,,,,,heartbeat
2026-05-01T20:24:00.069Z,450.0,OPEN,OPEN,143462,4495,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:24:10.069Z,460.0,OPEN,OPEN,146640,4595,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:24:20.068Z,470.0,OPEN,OPEN,149857,4695,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:24:30.064Z,480.0,OPEN,OPEN,153073,4795,0.0,0.0,,,,,heartbeat
2026-05-01T20:24:30.069Z,480.0,OPEN,OPEN,153075,4795,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:24:40.069Z,490.0,OPEN,OPEN,156171,4894,0.0,0.1,16200,75,0,2,poll
2026-05-01T20:24:50.068Z,500.0,OPEN,OPEN,159284,4994,0.0,0.1,16200,75,0,2,poll
2026-05-01T20:25:00.064Z,510.0,OPEN,OPEN,162442,5094,0.0,0.1,,,,,heartbeat
2026-05-01T20:25:00.069Z,510.0,OPEN,OPEN,162444,5094,0.0,0.1,16200,75,0,2,poll
2026-05-01T20:25:10.068Z,520.0,OPEN,OPEN,165588,5194,0.0,0.1,16200,75,0,2,poll
2026-05-01T20:25:20.068Z,530.0,OPEN,OPEN,168767,5294,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:25:30.064Z,540.0,OPEN,OPEN,171934,5394,0.0,0.0,,,,,heartbeat
2026-05-01T20:25:30.069Z,540.0,OPEN,OPEN,171935,5394,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:25:40.069Z,550.0,OPEN,OPEN,175106,5494,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:25:50.069Z,560.0,OPEN,OPEN,178244,5594,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:26:00.064Z,570.0,OPEN,OPEN,181279,5693,0.0,0.1,,,,,heartbeat
2026-05-01T20:26:00.069Z,570.0,OPEN,OPEN,181281,5693,0.0,0.1,16200,75,0,2,poll
2026-05-01T20:26:10.069Z,580.0,OPEN,OPEN,184351,5793,0.0,0.1,16200,75,0,2,poll
2026-05-01T20:26:20.070Z,590.0,OPEN,OPEN,187420,5893,0.0,0.1,16200,75,0,2,poll
2026-05-01T20:26:30.064Z,600.0,OPEN,OPEN,190519,5993,0.0,0.0,,,,,heartbeat
2026-05-01T20:26:30.070Z,600.0,OPEN,OPEN,190521,5993,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:26:40.069Z,610.0,OPEN,OPEN,193626,6093,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:26:50.070Z,620.0,OPEN,OPEN,196767,6193,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:27:00.064Z,630.0,OPEN,OPEN,199927,6293,0.0,0.0,,,,,heartbeat
2026-05-01T20:27:00.071Z,630.0,OPEN,OPEN,199930,6293,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:27:10.071Z,640.0,OPEN,OPEN,203025,6393,0.0,0.0,16200,75,0,2,poll
2026-05-01T20:27:20.070Z,650.0,OPEN,OPEN,206039,6492,0.0,0.1,16200,75,0,2,poll
